,Unnamed: 0,timestamp,mx,my,mz,mAc
275,140.0,19000.0,71.09,1.86,-3.59,ACCURACY_BAD
276,141.0,19100.0,69.72,-0.05,-4.19,ACCURACY_BAD
277,142.0,19200.0,69.72,-2.63,-5.09,ACCURACY_BAD
278,143.0,19300.0,67.61,-7.01,-5.09,ACCURACY_BAD
279,144.0,19400.0,65.51,-11.88,-5.94,ACCURACY_BAD
280,140.0,19000.0,71.09,1.86,-3.59,ACCURACY_BAD
281,141.0,19100.0,69.72,-0.05,-4.19,ACCURACY_BAD
282,142.0,19200.0,69.72,-2.63,-5.09,ACCURACY_BAD
283,143.0,19300.0,67.61,-7.01,-5.09,ACCURACY_BAD
284,144.0,19400.0,65.51,-11.88,-5.94,ACCURACY_BAD
285,145.0,19500.0,64.13,-15.35,-6.35,ACCURACY_BAD
286,146.0,19600.0,64.13,-16.02,-6.53,ACCURACY_BAD
287,147.0,19700.0,62.75,-17.52,-6.35,ACCURACY_BAD
288,148.0,19800.0,63.41,-15.17,-7.01,ACCURACY_BAD
289,149.0,19900.0,62.75,-12.71,-5.51,ACCURACY_BAD
290,145.0,19500.0,64.13,-15.35,-6.35,ACCURACY_BAD
291,146.0,19600.0,64.13,-16.02,-6.53,ACCURACY_BAD
292,147.0,19700.0,62.75,-17.52,-6.35,ACCURACY_BAD
293,148.0,19800.0,63.41,-15.17,-7.01,ACCURACY_BAD
294,149.0,19900.0,62.75,-12.71,-5.51,ACCURACY_BAD
295,150.0,20000.0,62.03,-11.63,-6.59,ACCURACY_BAD
296,151.0,20100.0,62.75,-15.53,-7.85,ACCURACY_BAD
297,152.0,20200.0,62.03,-13.13,-6.35,ACCURACY_BAD
298,153.0,20300.0,62.03,-11.88,-5.94,ACCURACY_BAD
299,154.0,20400.0,65.51,-6.17,-7.67,ACCURACY_BAD
300,150.0,20000.0,62.03,-11.63,-6.59,ACCURACY_BAD
301,151.0,20100.0,62.75,-15.53,-7.85,ACCURACY_BAD
302,152.0,20200.0,62.03,-13.13,-6.35,ACCURACY_BAD
303,153.0,20300.0,62.03,-11.88,-5.94,ACCURACY_BAD
304,154.0,20400.0,65.51,-6.17,-7.67,ACCURACY_BAD
305,155.0,20500.0,66.9,-3.77,-8.27,ACCURACY_BAD
306,156.0,20600.0,68.33,2.03,-8.51,ACCURACY_BAD
307,157.0,20700.0,69.72,4.44,-7.01,ACCURACY_BAD
308,158.0,20800.0,70.43,5.94,-7.25,ACCURACY_BAD
309,159.0,20900.0,71.81,5.03,-8.93,ACCURACY_BAD
310,155.0,20500.0,66.9,-3.77,-8.27,ACCURACY_BAD
311,156.0,20600.0,68.33,2.03,-8.51,ACCURACY_BAD
312,157.0,20700.0,69.72,4.44,-7.01,ACCURACY_BAD
313,158.0,20800.0,70.43,5.94,-7.25,ACCURACY_BAD
314,159.0,20900.0,71.81,5.03,-8.93,ACCURACY_BAD
315,160.0,21000.0,69.0,3.53,-8.69,ACCURACY_BAD
316,161.0,21100.0,70.43,-2.93,-8.69,ACCURACY_BAD
317,162.0,21200.0,67.61,-7.98,-8.93,ACCURACY_BAD
318,163.0,21300.0,67.61,-11.03,-8.46,ACCURACY_BAD
319,164.0,21400.0,62.75,-14.09,-10.26,ACCURACY_BAD
320,160.0,21000.0,69.0,3.53,-8.69,ACCURACY_BAD
321,161.0,21100.0,70.43,-2.93,-8.69,ACCURACY_BAD
322,162.0,21200.0,67.61,-7.98,-8.93,ACCURACY_BAD
323,163.0,21300.0,67.61,-11.03,-8.46,ACCURACY_BAD
324,164.0,21400.0,62.75,-14.09,-10.26,ACCURACY_BAD
325,165.0,21500.0,60.65,-16.97,-10.43,ACCURACY_BAD
326,166.0,21600.0,59.27,-19.97,-7.85,ACCURACY_BAD
327,167.0,21700.0,58.55,-19.79,-10.61,ACCURACY_BAD
328,168.0,21800.0,57.84,-16.26,-10.19,ACCURACY_BAD
329,169.0,21900.0,56.45,-18.05,-11.51,ACCURACY_BAD
330,165.0,21500.0,60.65,-16.97,-10.43,ACCURACY_BAD
331,166.0,21600.0,59.27,-19.97,-7.85,ACCURACY_BAD
332,167.0,21700.0,58.55,-19.79,-10.61,ACCURACY_BAD
333,168.0,21800.0,57.84,-16.26,-10.19,ACCURACY_BAD
334,169.0,21900.0,56.45,-18.05,-11.51,ACCURACY_BAD
335,170.0,22000.0,57.18,-15.65,-9.96,ACCURACY_BAD
336,171.0,22100.0,55.07,-15.17,-9.11,ACCURACY_BAD
337,172.0,22200.0,57.18,-18.95,-13.19,ACCURACY_BAD
338,173.0,22300.0,59.93,-17.15,-11.93,ACCURACY_BAD
339,174.0,22400.0,64.86,-3.89,-12.59,ACCURACY_BAD
340,170.0,22000.0,57.18,-15.65,-9.96,ACCURACY_BAD
341,171.0,22100.0,55.07,-15.17,-9.11,ACCURACY_BAD
342,172.0,22200.0,57.18,-18.95,-13.19,ACCURACY_BAD
343,173.0,22300.0,59.93,-17.15,-11.93,ACCURACY_BAD
344,174.0,22400.0,64.86,-3.89,-12.59,ACCURACY_BAD
345,175.0,22500.0,67.61,2.81,-13.25,ACCURACY_BAD
346,176.0,22600.0,69.0,4.55,-14.03,ACCURACY_BAD
347,177.0,22700.0,69.72,4.55,-14.03,ACCURACY_BAD
