,timestamp,mx,my,mz,mAc
277,32700.0,57.84,-20.15,48.71,ACCURACY_BAD
278,32800.0,57.18,-19.68,49.55,ACCURACY_BAD
279,32900.0,57.18,-19.07,49.79,ACCURACY_BAD
280,33000.0,58.55,-19.55,46.79,ACCURACY_BAD
281,33100.0,59.27,-21.47,46.13,ACCURACY_BAD
282,33200.0,65.51,-22.85,45.71,ACCURACY_BAD
283,33300.0,69.0,-24.77,47.21,ACCURACY_BAD
284,33400.0,70.43,-26.09,44.63,ACCURACY_BAD
285,33500.0,73.19,-27.05,40.79,ACCURACY_BAD
286,33600.0,70.43,-27.0,42.95,ACCURACY_BAD
287,33700.0,67.61,-26.57,43.79,ACCURACY_BAD
288,33800.0,63.41,-25.19,46.37,ACCURACY_BAD
289,33900.0,63.41,-23.63,50.45,ACCURACY_BAD
290,34000.0,64.13,-20.34,51.53,ACCURACY_BAD
291,34100.0,61.31,-18.77,51.29,ACCURACY_BAD
292,34200.0,62.03,-15.83,48.71,ACCURACY_BAD
293,34300.0,64.13,-12.71,52.55,ACCURACY_BAD
294,34400.0,63.41,-14.93,50.45,ACCURACY_BAD
295,34500.0,64.13,-12.96,53.21,ACCURACY_BAD
296,34600.0,65.51,-12.3,53.45,ACCURACY_BAD
297,34700.0,66.23,-15.05,55.37,ACCURACY_BAD
298,34800.0,67.61,-15.53,52.37,ACCURACY_BAD
299,34900.0,68.33,-18.6,50.63,ACCURACY_BAD
300,35000.0,71.81,-20.57,47.87,ACCURACY_BAD
301,35100.0,74.58,-19.92,50.21,ACCURACY_BAD
302,35200.0,77.4,-19.92,50.21,ACCURACY_BAD
303,35300.0,77.4,-21.89,47.45,ACCURACY_BAD
304,35400.0,76.01,-23.03,46.31,ACCURACY_BAD
305,35500.0,72.47,-25.01,47.87,ACCURACY_BAD
306,35600.0,71.09,-22.97,50.7,ACCURACY_BAD
307,35700.0,66.23,-20.34,53.63,ACCURACY_BAD
308,35800.0,66.23,-15.96,53.63,ACCURACY_BAD
309,35900.0,62.75,-8.69,55.97,ACCURACY_BAD
310,36000.0,62.03,-10.01,57.71,ACCURACY_BAD
311,36100.0,62.03,-9.53,60.71,ACCURACY_BAD
312,36200.0,62.75,-10.43,58.97,ACCURACY_BAD
313,36300.0,68.33,-12.65,56.87,ACCURACY_BAD
314,36400.0,69.0,-12.23,57.65,ACCURACY_BAD
315,36500.0,72.47,-15.29,55.97,ACCURACY_BAD
316,36600.0,73.91,-16.37,57.05,ACCURACY_BAD
317,36700.0,74.58,-15.89,57.95,ACCURACY_BAD
318,36800.0,76.01,-15.47,56.63,ACCURACY_BAD
319,36900.0,78.77,-14.39,57.65,ACCURACY_BAD
320,37000.0,79.5,-15.89,57.95,ACCURACY_BAD
321,37100.0,76.68,-16.97,56.81,ACCURACY_BAD
322,37200.0,74.58,-16.79,56.21,ACCURACY_BAD
323,37300.0,70.43,-17.94,57.29,ACCURACY_BAD
324,37400.0,70.43,-13.73,55.79,ACCURACY_BAD
325,37500.0,66.9,-11.51,57.89,ACCURACY_BAD
326,37600.0,64.13,-12.84,57.47,ACCURACY_BAD
327,37700.0,64.13,-16.31,59.21,ACCURACY_BAD
328,37800.0,64.86,-14.81,61.13,ACCURACY_BAD
329,37900.0,65.51,-15.47,58.79,ACCURACY_BAD
330,38000.0,68.33,-15.71,59.39,ACCURACY_BAD
331,38100.0,72.47,-15.71,57.23,ACCURACY_BAD
332,38200.0,75.29,-15.71,57.23,ACCURACY_BAD
333,38300.0,75.29,-9.53,60.71,ACCURACY_BAD
334,38400.0,71.81,-9.35,57.95,ACCURACY_BAD
335,38500.0,71.09,-8.22,58.97,ACCURACY_BAD
336,38600.0,69.72,-4.25,62.39,ACCURACY_BAD
337,38700.0,67.61,-0.77,60.71,ACCURACY_BAD
338,38800.0,66.23,-1.01,59.15,ACCURACY_BAD
339,38900.0,69.0,0.65,62.57,ACCURACY_BAD
340,39000.0,68.33,3.95,61.61,ACCURACY_BAD
341,39100.0,69.0,2.63,61.13,ACCURACY_BAD
342,39200.0,68.33,2.87,60.47,ACCURACY_BAD
343,39300.0,68.33,-1.79,63.89,ACCURACY_BAD
344,39400.0,70.43,-0.11,63.05,ACCURACY_BAD
345,39500.0,72.47,1.37,62.81,ACCURACY_BAD
346,39600.0,71.09,2.7,63.23,ACCURACY_BAD
347,39700.0,71.81,3.95,61.61,ACCURACY_BAD
348,39800.0,72.47,4.19,60.89,ACCURACY_BAD
349,39900.0,71.09,5.27,62.03,ACCURACY_BAD
350,40000.0,73.19,8.51,60.89,ACCURACY_BAD
351,40100.0,72.47,12.65,59.45,ACCURACY_BAD
352,40200.0,73.91,17.63,55.37,ACCURACY_BAD
353,40300.0,73.91,20.21,51.89,ACCURACY_BAD
354,40400.0,77.4,21.05,51.47,ACCURACY_BAD
355,40500.0,78.05,22.79,50.7,ACCURACY_BAD
356,40600.0,80.15,23.63,48.11,ACCURACY_BAD
357,40700.0,80.15,26.87,44.87,ACCURACY_BAD
358,40800.0,78.05,26.87,44.87,ACCURACY_BAD
359,40900.0,77.4,26.39,44.04,ACCURACY_BAD
360,41000.0,77.4,28.97,40.55,ACCURACY_BAD
361,41100.0,74.58,26.87,44.87,ACCURACY_BAD
362,41200.0,77.4,26.39,44.04,ACCURACY_BAD
363,41300.0,75.29,30.71,39.71,ACCURACY_BAD
364,41400.0,74.58,31.55,37.2,ACCURACY_BAD
365,41500.0,76.68,30.84,34.79,ACCURACY_BAD
366,41600.0,75.29,32.75,31.19,ACCURACY_BAD
367,41700.0,76.68,31.92,29.45,ACCURACY_BAD
368,41800.0,81.59,27.89,26.03,ACCURACY_BAD
369,41900.0,81.59,27.89,26.03,ACCURACY_BAD
370,42000.0,84.36,24.53,18.53,ACCURACY_BAD
371,42100.0,85.73,20.45,13.01,ACCURACY_BAD
372,42200.0,89.22,14.51,11.09,ACCURACY_BAD
373,42300.0,89.22,14.51,11.09,ACCURACY_BAD
374,42400.0,89.22,9.89,9.59,ACCURACY_BAD
375,42500.0,89.22,9.89,9.59,ACCURACY_BAD
376,42600.0,88.55,7.25,6.59,ACCURACY_BAD
377,42700.0,88.55,7.25,6.59,ACCURACY_BAD
378,42800.0,89.93,7.5,8.03,ACCURACY_BAD
379,42900.0,89.93,7.5,8.03,ACCURACY_BAD
380,43000.0,87.18,9.47,8.69,ACCURACY_BAD
381,43100.0,87.18,9.47,8.69,ACCURACY_BAD
382,43200.0,85.73,12.35,8.93,ACCURACY_BAD
383,43300.0,85.73,12.35,8.93,ACCURACY_BAD
